LSOA11CD,LAD11NM,PTAL Score,lsoademographics_White,lsoademographics_Mixed/multiple ethnic groups,lsoademographics_Asian/Asian British,lsoademographics_Black/African/Caribbean/Black British,lsoademographics_Other ethnic group,lsoademographics_BAME,lsoademographics_White (%),lsoademographics_Mixed/multiple ethnic groups (%),lsoademographics_Asian/Asian British (%),lsoademographics_Black/African/Caribbean/Black British (%),lsoademographics_Other ethnic group (%),lsoademographics_BAME (%),lsoademographics_United Kingdom,lsoademographics_Not United Kingdom,lsoademographics_% United Kingdom,lsoademographics_% Not United Kingdom,lsoademographics_Households with at least one person aged 16 or over with English as a main language,lsoademographics_Households where no people aged 16 or over have English as a main language,lsoademographics_% of households with at least one person aged 16 or over with English as a main language,lsoademographics_% of households where no people aged 16 or over have English as a main language,lsoademographics_Christian,lsoademographics_Buddhist,lsoademographics_Hindu,lsoademographics_Jewish,lsoademographics_Muslim,lsoademographics_Sikh,lsoademographics_Other religion,lsoademographics_No religion,lsoademographics_Religion not stated,lsoademographics_Christian (%),lsoademographics_Buddhist (%),lsoademographics_Hindu (%),lsoademographics_Jewish (%),lsoademographics_Muslim (%),lsoademographics_Sikh (%),lsoademographics_Other religion (%),lsoademographics_No religion (%),lsoademographics_Religion not stated (%),IMD only_LSOA name (2011),IMD only_Index of Multiple Deprivation (IMD) Score,IMD only_Income Score (rate),IMD only_Employment Score (rate),"IMD only_Education, Skills and Training Score",IMD only_Health Deprivation and Disability Score,IMD only_Crime Score,IMD only_Barriers to Housing and Services Score,IMD only_Living Environment Score,lsoahouseprices_House Prices;Median Price;2014,Mean and Median Incomes_2012/13mean,Mean and Median Incomes_2012/13median,lsoaages_All Ages,lsoaages_0-15,lsoaages_16-29,lsoaages_30-44,lsoaages_45-64,lsoaages_65+,lsoaages_Working-age
E01003561,Newham,10.2981,154,48,1438,206,34,1726,8.2,2.6,76.5,11,1.8,91.8,733,1147,39,61,293,188,60.9,39.1,316,6,346,1,965,61,10,65,110,16.8,0.3,18.4,0.1,51.3,3.2,0.5,3.5,5.9,Newham 007C,23.7,0.1,0.1,17.6,-0.5,0.2,49.2,28.1,272500,39920,33870,1880,406,666,392,307,109,1365
E01003562,Newham,10.1756,199,38,1720,206,37,2001,9,1.7,78.2,9.4,1.7,91,779,1421,35.4,64.6,350,226,60.8,39.2,378,15,547,0,958,90,11,46,155,17.2,0.7,24.9,0,43.5,4.1,0.5,2.1,7,Newham 014A,25.9,0.1,0.1,18.9,-0.5,0.2,52,35.1,216000,38690,32800,2200,406,770,483,409,132,1662
E01003567,Newham,12.3867,206,52,1249,273,42,1616,11.3,2.9,68.6,15,2.3,88.7,688,1134,37.8,62.2,307,233,56.9,43.1,402,11,276,6,883,87,3,55,99,22.1,0.6,15.1,0.3,48.5,4.8,0.2,3,5.4,Newham 007D,32.1,0.2,0.1,22.4,0,0.3,49.6,32.1,340000,39010,33080,1822,403,589,426,285,119,1300
E01003570,Newham,13.3864,277,81,1401,230,76,1788,13.4,3.9,67.8,11.1,3.7,86.6,823,1242,39.9,60.1,346,239,59.1,40.9,457,4,255,1,1057,62,7,91,131,22.1,0.2,12.3,0,51.2,3,0.3,4.4,6.3,Newham 008C,31.3,0.2,0.1,22.6,0.1,0.9,50.7,35.5,200000,37720,31940,2065,445,676,490,322,132,1488
E01003571,Newham,10.3242,171,68,1760,232,46,2106,7.5,3,77.3,10.2,2,92.5,848,1429,37.2,62.8,342,244,58.4,41.6,320,11,398,0,1279,94,13,60,102,14.1,0.5,17.5,0,56.2,4.1,0.6,2.6,4.5,Newham 008D,28,0.2,0.1,16.8,0,0.2,51.6,24.9,250000,38620,32740,2277,502,761,488,377,149,1626
E01003575,Newham,4.27964,262,85,994,305,56,1440,15.4,5,58.4,17.9,3.3,84.6,767,935,45.1,54.9,330,161,67.2,32.8,477,2,109,1,792,144,5,65,107,28,0.1,6.4,0.1,46.5,8.5,0.3,3.8,6.3,Newham 005B,29.8,0.2,0.1,26.7,-0.4,0.3,47.1,25.6,250000,37900,32100,1702,494,429,398,283,98,1110
E01003576,Newham,12.8318,369,82,949,493,61,1585,18.9,4.2,48.6,25.2,3.1,81.1,911,1043,46.6,53.4,465,245,65.5,34.5,609,9,128,3,925,34,11,114,121,31.2,0.5,6.6,0.2,47.3,1.7,0.6,5.8,6.2,Newham 002A,38.1,0.2,0.1,25.3,0.3,0.9,49.8,29.2,184000,35800,30210,1954,555,491,492,258,158,1241
E01003577,Newham,5.50853,388,116,716,604,96,1532,20.2,6,37.3,31.5,5,79.8,1013,907,52.8,47.2,470,203,69.8,30.2,786,3,93,5,765,20,4,119,125,40.9,0.2,4.8,0.3,39.8,1,0.2,6.2,6.5,Newham 005C,40.9,0.3,0.2,23.4,0.6,0.6,53.5,28.9,160000,35110,29570,1920,609,429,437,278,167,1144
E01003578,Newham,3.56902,395,68,1049,361,71,1549,20.3,3.5,54,18.6,3.7,79.7,735,1209,37.8,62.2,343,258,57.1,42.9,608,14,191,1,840,43,4,102,141,31.3,0.7,9.8,0.1,43.2,2.2,0.2,5.2,7.3,Newham 003A,26.2,0.1,0.1,24.1,-0.2,0.5,49.5,38.4,237000,37500,31750,1944,524,588,527,246,59,1361
E01003579,Newham,9.41612,244,41,1275,250,40,1606,13.2,2.2,68.9,13.5,2.2,86.8,813,1037,43.9,56.1,317,182,63.5,36.5,402,11,189,1,986,92,0,66,103,21.7,0.6,10.2,0.1,53.3,5,0,3.6,5.6,Newham 004A,28.5,0.2,0.1,29.4,-0.1,0.1,46.9,37.3,235000,38280,32440,1850,474,516,436,307,117,1259
E01003580,Newham,1.17726,364,110,836,443,83,1472,19.8,6,45.5,24.1,4.5,80.2,926,910,50.4,49.6,423,192,68.8,31.2,655,4,109,4,723,66,8,132,135,35.7,0.2,5.9,0.2,39.4,3.6,0.4,7.2,7.4,Newham 005D,32.8,0.2,0.1,25.7,-0.2,0.3,50.3,37.2,193000,37410,31660,1836,557,398,431,326,124,1155
E01003581,Newham,8.38933,255,61,1139,326,67,1593,13.8,3.3,61.6,17.6,3.6,86.2,783,1065,42.4,57.6,306,180,63,37,483,9,149,3,914,81,10,64,135,26.1,0.5,8.1,0.2,49.5,4.4,0.5,3.5,7.3,Newham 002B,26.8,0.1,0.1,24.7,-0.4,0.2,49.8,33.6,270000,37800,32010,1848,451,525,463,295,114,1283
E01003582,Newham,4.41749,320,96,820,321,56,1293,19.8,6,50.8,19.9,3.5,80.2,780,833,48.4,51.6,349,150,69.9,30.1,550,15,133,1,689,59,1,89,76,34.1,0.9,8.2,0.1,42.7,3.7,0.1,5.5,4.7,Newham 002C,30.9,0.2,0.1,26.7,-0.2,0.2,47.8,30.3,240500,37870,32080,1613,445,430,351,278,109,1059
E01003583,Newham,5.24861,393,75,1108,333,57,1573,20,3.8,56.4,16.9,2.9,80,837,1129,42.6,57.4,342,197,63.5,36.5,649,9,193,3,825,103,3,77,104,33,0.5,9.8,0.2,42,5.2,0.2,3.9,5.3,Newham 002D,28.5,0.2,0.1,21.1,0,0,47.8,37.1,267000,37860,32060,1966,512,513,449,316,176,1278
