LSOA11CD,LAD11NM,PTAL Score,lsoademographics_White,lsoademographics_Mixed/multiple ethnic groups,lsoademographics_Asian/Asian British,lsoademographics_Black/African/Caribbean/Black British,lsoademographics_Other ethnic group,lsoademographics_BAME,lsoademographics_White (%),lsoademographics_Mixed/multiple ethnic groups (%),lsoademographics_Asian/Asian British (%),lsoademographics_Black/African/Caribbean/Black British (%),lsoademographics_Other ethnic group (%),lsoademographics_BAME (%),lsoademographics_United Kingdom,lsoademographics_Not United Kingdom,lsoademographics_% United Kingdom,lsoademographics_% Not United Kingdom,lsoademographics_Households with at least one person aged 16 or over with English as a main language,lsoademographics_Households where no people aged 16 or over have English as a main language,lsoademographics_% of households with at least one person aged 16 or over with English as a main language,lsoademographics_% of households where no people aged 16 or over have English as a main language,lsoademographics_Christian,lsoademographics_Buddhist,lsoademographics_Hindu,lsoademographics_Jewish,lsoademographics_Muslim,lsoademographics_Sikh,lsoademographics_Other religion,lsoademographics_No religion,lsoademographics_Religion not stated,lsoademographics_Christian (%),lsoademographics_Buddhist (%),lsoademographics_Hindu (%),lsoademographics_Jewish (%),lsoademographics_Muslim (%),lsoademographics_Sikh (%),lsoademographics_Other religion (%),lsoademographics_No religion (%),lsoademographics_Religion not stated (%),IMD only_LSOA name (2011),IMD only_Index of Multiple Deprivation (IMD) Score,IMD only_Income Score (rate),IMD only_Employment Score (rate),"IMD only_Education, Skills and Training Score",IMD only_Health Deprivation and Disability Score,IMD only_Crime Score,IMD only_Barriers to Housing and Services Score,IMD only_Living Environment Score,lsoahouseprices_House Prices;Median Price;2014,Mean and Median Incomes_2012/13mean,Mean and Median Incomes_2012/13median,lsoaages_All Ages,lsoaages_0-15,lsoaages_16-29,lsoaages_30-44,lsoaages_45-64,lsoaages_65+,lsoaages_Working-age
E01000339,Bexley,4.67548,1417,27,44,32,10,113,92.6,1.8,2.9,2.1,0.7,7.4,1435,95,93.8,6.2,595,7,98.8,1.2,950,6,14,0,15,9,5,396,135,62.1,0.4,0.9,0,1,0.6,0.3,25.9,8.8,Bexley 025A,16.3,0.1,0.1,23.2,-0.3,-0.2,16.8,12.7,300000,48600,40190,1530,296,232,261,447,294,940
E01000340,Bexley,2.61588,1379,12,70,36,5,123,91.8,0.8,4.7,2.4,0.3,8.2,1386,116,92.3,7.7,612,7,98.9,1.1,942,13,13,0,26,18,1,369,120,62.7,0.9,0.9,0,1.7,1.2,0.1,24.6,8,Bexley 018A,12.8,0.1,0,19.8,-0.5,-0.6,27.2,28.1,271250,46400,38520,1502,275,228,286,424,289,938
E01000342,Bexley,2.81472,1492,28,52,15,8,103,93.5,1.8,3.3,0.9,0.5,6.5,1500,95,94,6,634,10,98.4,1.6,1035,7,17,0,11,3,8,404,110,64.9,0.4,1.1,0,0.7,0.2,0.5,25.3,6.9,Bexley 022B,8.9,0,0,17.7,-1,-0.2,21.4,24,250000,49400,40790,1595,303,283,393,382,234,1058
E01000344,Bexley,4.49253,1498,29,36,40,6,111,93.1,1.8,2.2,2.5,0.4,6.9,1496,113,93,7,631,15,97.7,2.3,1087,1,10,4,21,3,7,363,113,67.6,0.1,0.6,0.2,1.3,0.2,0.4,22.6,7,Bexley 025B,6.1,0,0,12.3,-0.7,-0.5,15.5,13,314000,49970,41210,1609,325,249,354,386,295,989
E01000395,Bexley,4.94627,1245,31,114,32,6,183,87.2,2.2,8,2.2,0.4,12.8,1288,140,90.2,9.8,480,19,96.2,3.8,961,14,24,0,49,21,1,261,97,67.3,1,1.7,0,3.4,1.5,0.1,18.3,6.8,Bexley 018B,5,0,0,9.9,-1,-0.9,17.1,17.4,366250,49100,40570,1428,247,280,240,415,246,935
E01000396,Bexley,4.80394,1182,14,133,43,27,217,84.5,1,9.5,3.1,1.9,15.5,1257,142,89.8,10.2,492,15,97,3,873,3,45,1,44,33,1,280,119,62.4,0.2,3.2,0.1,3.1,2.4,0.1,20,8.5,Bexley 018C,8.1,0,0,12.9,-0.6,-1.1,21,23.3,332500,47450,39320,1399,263,251,253,409,223,913
E01000398,Bexley,3.35725,1357,35,121,77,9,242,84.9,2.2,7.6,4.8,0.6,15.1,1378,221,86.2,13.8,585,26,95.7,4.3,941,12,32,0,21,42,5,435,111,58.8,0.8,2,0,1.3,2.6,0.3,27.2,6.9,Bexley 029A,20,0.1,0.1,33,-0.4,-0.9,27.6,20.4,250000,41370,34550,1599,336,280,285,423,275,988
E01000412,Bexley,6.77975,1431,19,130,87,11,247,85.3,1.1,7.7,5.2,0.7,14.7,1469,209,87.5,12.5,617,15,97.6,2.4,1039,9,17,0,55,20,1,430,107,61.9,0.5,1,0,3.3,1.2,0.1,25.6,6.4,Bexley 018E,8.6,0,0,13.6,-0.9,-0.6,28.2,19.8,250000,49080,40550,1678,354,315,372,415,222,1102
E01000416,Bexley,14.2417,759,50,226,496,16,788,49.1,3.2,14.6,32.1,1,50.9,939,608,60.7,39.3,456,61,88.2,11.8,917,45,46,1,68,46,2,288,134,59.3,2.9,3,0.1,4.4,3,0.1,18.6,8.7,Bexley 002A,25.3,0.2,0.1,16.7,-0.4,1.1,32.6,15.2,197750,41190,34400,1547,390,288,330,372,167,990
E01000417,Bexley,6.47468,1265,49,126,177,22,374,77.2,3,7.7,10.8,1.3,22.8,1356,283,82.7,17.3,681,32,95.5,4.5,956,6,24,0,53,49,11,418,122,58.3,0.4,1.5,0,3.2,3,0.7,25.5,7.4,Bexley 006B,19.6,0.1,0.1,17.3,-0.4,0.3,35.7,21.2,230000,44730,37230,1639,281,294,347,464,253,1105
E01000419,Bexley,3.82175,1239,29,130,59,4,222,84.8,2,8.9,4,0.3,15.2,1279,182,87.5,12.5,574,20,96.6,3.4,951,14,37,0,31,55,6,281,86,65.1,1,2.5,0,2.1,3.8,0.4,19.2,5.9,Bexley 006C,8.7,0,0,12.2,-0.8,-0.4,23,20.2,280000,45760,38030,1461,251,203,240,411,356,854
E01000422,Bexley,9.60783,784,54,216,641,34,945,45.3,3.1,12.5,37.1,2,54.7,1058,671,61.2,38.8,597,84,87.7,12.3,978,75,30,7,103,17,4,418,97,56.6,4.3,1.7,0.4,6,1,0.2,24.2,5.6,Bexley 002C,35.9,0.3,0.2,21.5,0,0.7,42.8,11.8,155500,36720,30650,1729,490,367,403,360,109,1130
E01000423,Bexley,5.6252,1506,22,44,48,18,132,91.9,1.3,2.7,2.9,1.1,8.1,1511,127,92.2,7.8,595,14,97.7,2.3,1154,3,12,1,22,1,2,330,113,70.5,0.2,0.7,0.1,1.3,0.1,0.1,20.1,6.9,Bexley 025C,5.6,0,0,10.3,-1.3,-1,16,18.8,395000,52690,43210,1638,316,246,300,440,336,986
E01000450,Bexley,3.65512,1503,38,127,148,16,329,82,2.1,6.9,8.1,0.9,18,1612,220,88,12,623,22,96.6,3.4,1090,15,39,1,55,16,2,493,121,59.5,0.8,2.1,0.1,3,0.9,0.1,26.9,6.6,Bexley 009E,18,0.1,0.1,19,-0.5,-0.1,25.7,15.2,267500,45660,37950,1832,460,314,385,421,252,1120
E01000451,Bexley,4.68981,1414,24,134,121,6,285,83.2,1.4,7.9,7.1,0.4,16.8,1520,179,89.5,10.5,604,17,97.3,2.7,1047,14,35,0,21,47,4,403,128,61.6,0.8,2.1,0,1.2,2.8,0.2,23.7,7.5,Bexley 009F,7.5,0,0,17.2,-1,-0.7,18.5,20,270000,48080,39800,1699,359,300,378,439,223,1117
E01000467,Bexley,8.04513,786,94,110,616,28,848,48.1,5.8,6.7,37.7,1.7,51.9,1031,603,63.1,36.9,526,65,89,11,1082,12,16,0,94,6,5,336,83,66.2,0.7,1,0,5.8,0.4,0.3,20.6,5.1,Bexley 001B,18.6,0.2,0.1,14.1,-0.5,-0.2,32,14.2,177500,41510,34660,1634,458,326,432,346,72,1104
E01000469,Bexley,6.27424,765,63,123,691,12,889,46.3,3.8,7.4,41.8,0.7,53.7,987,667,59.7,40.3,583,62,90.4,9.6,1102,24,19,0,97,1,8,291,112,66.6,1.5,1.1,0,5.9,0.1,0.5,17.6,6.8,Bexley 001D,19.9,0.1,0.1,10.3,-0.3,0.3,35.9,13.8,218000,42610,35550,1654,399,308,432,392,123,1132
E01000470,Bexley,6.99926,755,62,112,492,22,688,52.3,4.3,7.8,34.1,1.5,47.7,939,504,65.1,34.9,520,70,88.1,11.9,780,20,8,0,86,6,5,446,92,54.1,1.4,0.6,0,6,0.4,0.3,30.9,6.4,Bexley 002F,38.3,0.2,0.2,26.2,0.1,1.1,45.2,12.1,119250,35520,29610,1443,396,320,335,296,96,951
E01000689,Bromley,0.864227,1167,63,91,36,18,208,84.9,4.6,6.6,2.6,1.3,15.1,1218,157,88.6,11.4,589,23,96.2,3.8,770,6,15,0,68,6,12,397,101,56,0.4,1.1,0,4.9,0.4,0.9,28.9,7.3,Bromley 002A,21.8,0.1,0.1,15.5,0,0.1,34,15,255000,49020,38750,1375,243,230,272,372,258,874
E01000690,Bromley,4.51981,1222,40,91,39,10,180,87.2,2.9,6.5,2.8,0.7,12.8,1246,156,88.9,11.1,526,8,98.5,1.5,872,2,31,8,34,1,2,348,104,62.2,0.1,2.2,0.6,2.4,0.1,0.1,24.8,7.4,Bromley 002B,7.2,0,0,4,-1.4,0.5,20.2,13.5,412500,55360,43210,1402,283,198,283,405,233,886
E01000691,Bromley,4.50777,1275,53,40,42,28,163,88.7,3.7,2.8,2.9,1.9,11.3,1270,168,88.3,11.7,605,14,97.7,2.3,868,7,2,2,42,7,2,404,104,60.4,0.5,0.1,0.1,2.9,0.5,0.1,28.1,7.2,Bromley 002C,13.1,0.1,0.1,11.4,-0.7,-0.3,21,16.1,325000,50380,39730,1438,278,211,349,360,240,920
E01000779,Bromley,3.49308,988,44,124,68,9,245,80.1,3.6,10.1,5.5,0.7,19.9,1009,224,81.8,18.2,523,28,94.9,5.1,748,7,76,3,38,2,2,267,90,60.7,0.6,6.2,0.2,3.1,0.2,0.2,21.7,7.3,Bromley 001A,15.1,0.1,0.1,8,-0.9,1,20,27.1,303500,46300,36770,1233,165,212,228,368,260,808
E01000780,Bromley,5.5796,1143,54,92,174,17,337,77.2,3.6,6.2,11.8,1.1,22.8,1218,262,82.3,17.7,592,36,94.3,5.7,880,13,47,2,33,1,11,389,104,59.5,0.9,3.2,0.1,2.2,0.1,0.7,26.3,7,Bromley 001B,22.7,0.2,0.1,27.2,-0.6,0.7,25.6,18.4,285000,41540,33140,1480,311,269,317,361,222,947
E01000781,Bromley,7.38845,1168,75,43,149,10,277,80.8,5.2,3,10.3,0.7,19.2,1250,195,86.5,13.5,591,23,96.3,3.7,829,13,5,1,25,3,9,452,108,57.4,0.9,0.3,0.1,1.7,0.2,0.6,31.3,7.5,Bromley 001C,37.3,0.3,0.2,38.8,0.4,1,32.4,14.4,245000,38770,30940,1445,373,257,362,285,168,904
E01000784,Bromley,4.52413,1320,41,79,56,8,184,87.8,2.7,5.3,3.7,0.5,12.2,1320,184,87.8,12.2,563,19,96.7,3.3,898,4,24,6,38,7,6,414,107,59.7,0.3,1.6,0.4,2.5,0.5,0.4,27.5,7.1,Bromley 002E,10.2,0.1,0.1,6.5,-0.7,0.2,20.5,20.6,375000,49660,39220,1504,342,235,377,380,170,992
E01001571,Greenwich,7.74002,870,87,239,397,46,769,53.1,5.3,14.6,24.2,2.8,46.9,1104,535,67.4,32.6,549,66,89.3,10.7,877,5,91,4,89,85,7,348,133,53.5,0.3,5.6,0.2,5.4,5.2,0.4,21.2,8.1,Greenwich 008A,17.9,0.1,0.1,13.4,0,0.6,22.3,30.3,290000,45270,36050,1639,383,326,394,398,138,1118
E01001572,Greenwich,12.9467,1002,87,153,445,24,709,58.6,5.1,8.9,26,1.4,41.4,1197,514,70,30,555,73,88.4,11.6,1029,11,55,0,102,19,8,354,133,60.1,0.6,3.2,0,6,1.1,0.5,20.7,7.8,Greenwich 008B,15.5,0.1,0.1,11.1,-0.6,0.2,23.4,32.9,279000,45840,36490,1711,430,316,412,381,172,1109
E01001573,Greenwich,8.06914,803,84,263,325,30,702,53.4,5.6,17.5,21.6,2,46.6,1008,497,67,33,455,58,88.7,11.3,879,24,111,0,97,46,6,220,122,58.4,1.6,7.4,0,6.4,3.1,0.4,14.6,8.1,Greenwich 008C,15.7,0.1,0.1,14.6,-0.4,0.5,22.9,32.3,287500,45040,35880,1505,349,320,320,384,132,1024
E01001574,Greenwich,4.48118,1012,120,135,470,32,757,57.2,6.8,7.6,26.6,1.8,42.8,1270,499,71.8,28.2,686,82,89.3,10.7,971,20,38,4,130,32,8,425,141,54.9,1.1,2.1,0.2,7.3,1.8,0.5,24,8,Greenwich 008D,39.3,0.2,0.2,30.8,0.7,0.7,39,17.9,138000,38890,30930,1769,500,332,419,354,164,1105
E01001575,Greenwich,11.7311,841,86,107,654,19,866,49.3,5,6.3,38.3,1.1,50.7,1152,555,67.5,32.5,536,63,89.5,10.5,1002,8,19,2,186,14,1,351,124,58.7,0.5,1.1,0.1,10.9,0.8,0.1,20.6,7.3,Greenwich 003A,47.5,0.3,0.2,22.9,1.2,0.8,35.5,19.5,245000,38180,30340,1707,519,333,382,320,153,1035
E01001576,Greenwich,4.19249,964,73,73,596,33,775,55.4,4.2,4.2,34.3,1.9,44.6,1212,527,69.7,30.3,598,60,90.9,9.1,1072,2,20,1,146,13,12,352,121,61.6,0.1,1.2,0.1,8.4,0.7,0.7,20.2,7,Greenwich 003B,39.5,0.3,0.2,28,0.7,0.8,36.4,16.9,200000,38580,30670,1739,506,314,381,337,201,1032
E01001577,Greenwich,12.0021,949,94,119,661,34,908,51.1,5.1,6.4,35.6,1.8,48.9,1253,604,67.5,32.5,675,62,91.6,8.4,1107,21,27,0,137,26,9,392,138,59.6,1.1,1.5,0,7.4,1.4,0.5,21.1,7.4,Greenwich 003C,33.6,0.2,0.1,19.6,0.4,1,35.2,25.8,235000,37940,30130,1857,537,327,418,371,204,1116
E01001578,Greenwich,13.1268,1081,85,196,726,43,1050,50.7,4,9.2,34.1,2,49.3,1336,795,62.7,37.3,710,99,87.8,12.2,1269,21,50,0,177,39,16,424,135,59.5,1,2.3,0,8.3,1.8,0.8,19.9,6.3,Greenwich 003D,26.8,0.2,0.1,20.3,-0.2,0.7,31.2,24.1,198000,41060,32720,2131,562,400,614,402,153,1416
E01001579,Greenwich,4.57239,912,62,131,524,17,734,55.4,3.8,8,31.8,1,44.6,1149,497,69.8,30.2,583,54,91.5,8.5,1013,14,18,0,96,54,1,306,144,61.5,0.9,1.1,0,5.8,3.3,0.1,18.6,8.7,Greenwich 003E,37.7,0.3,0.2,25.6,0.6,0.7,38.6,20.8,247000,40240,32050,1646,431,317,365,348,185,1030
E01001580,Greenwich,13.6361,1403,51,111,60,17,239,85.4,3.1,6.8,3.7,1,14.6,1264,378,77,23,789,44,94.7,5.3,750,10,32,7,38,9,7,671,118,45.7,0.6,1.9,0.4,2.3,0.5,0.4,40.9,7.2,Greenwich 021A,10.8,0.1,0,2,-1.1,0.8,24,28.2,394998,66990,51300,1642,215,361,560,333,173,1254
E01001581,Greenwich,18.2808,1361,71,115,116,30,332,80.4,4.2,6.8,6.9,1.8,19.6,1272,421,75.1,24.9,787,51,93.9,6.1,847,16,24,7,41,11,18,590,139,50,0.9,1.4,0.4,2.4,0.6,1.1,34.8,8.2,Greenwich 016A,20.4,0.1,0.1,4,0,0.5,26.2,26.7,356000,56240,44100,1693,237,312,517,349,278,1178
E01001582,Greenwich,5.49672,1147,50,112,128,38,328,77.8,3.4,7.6,8.7,2.6,22.2,1123,352,76.1,23.9,582,59,90.8,9.2,760,20,29,1,87,7,11,423,137,51.5,1.4,2,0.1,5.9,0.5,0.7,28.7,9.3,Greenwich 021B,23.3,0.2,0.1,9,-0.2,1,28.2,25.7,406250,58380,45580,1475,298,227,359,332,259,918
E01001583,Greenwich,6.40135,1382,64,75,74,8,221,86.2,4,4.7,4.6,0.5,13.8,1282,321,80,20,780,38,95.4,4.6,851,16,20,13,22,3,6,549,123,53.1,1,1.2,0.8,1.4,0.2,0.4,34.2,7.7,Greenwich 021C,13.5,0.1,0,2.7,-0.8,0.4,33.8,34,375500,65270,50190,1603,227,284,536,352,204,1172
E01001584,Greenwich,7.16297,1374,61,60,46,8,175,88.7,3.9,3.9,3,0.5,11.3,1243,306,80.2,19.8,687,26,96.4,3.6,814,13,9,5,17,2,3,539,147,52.6,0.8,0.6,0.3,1.1,0.1,0.2,34.8,9.5,Greenwich 021D,8.8,0.1,0,3.6,-0.9,-0.3,30.2,19.1,595000,69240,52740,1549,245,200,443,337,324,980
E01001585,Greenwich,13.5187,1286,63,92,72,19,246,83.9,4.1,6,4.7,1.2,16.1,1210,322,79,21,598,30,95.2,4.8,698,13,10,18,48,17,8,596,124,45.6,0.8,0.7,1.2,3.1,1.1,0.5,38.9,8.1,Greenwich 016B,12.9,0.1,0.1,2.8,-0.1,0.2,23.3,24.5,585000,62120,48110,1532,322,241,421,374,174,1036
E01001586,Greenwich,14.2767,1181,71,77,145,17,310,79.2,4.8,5.2,9.7,1.1,20.8,1120,371,75.1,24.9,646,37,94.6,5.4,791,18,9,4,35,5,11,500,118,53.1,1.2,0.6,0.3,2.3,0.3,0.7,33.5,7.9,Greenwich 016C,24.1,0.1,0.1,8,-0.1,0.8,32.8,27.1,305000,55700,43720,1491,250,236,394,331,280,961
E01001587,Greenwich,10.9412,1564,85,100,102,39,326,82.8,4.5,5.3,5.4,2.1,17.2,1396,494,73.9,26.1,853,68,92.6,7.4,917,17,17,3,45,23,10,694,164,48.5,0.9,0.9,0.2,2.4,1.2,0.5,36.7,8.7,Greenwich 016D,12.1,0.1,0.1,0.8,-0.7,0,33.4,23.9,420000,60860,47270,1890,302,364,576,407,241,1347
E01001588,Greenwich,9.09045,1117,82,258,216,19,575,66,4.8,15.2,12.8,1.1,34,1202,490,71,29,590,69,89.5,10.5,802,27,121,5,121,13,2,418,183,47.4,1.6,7.2,0.3,7.2,0.8,0.1,24.7,10.8,Greenwich 012A,36,0.2,0.1,13.7,0.3,1.7,39.5,30.1,365000,43590,34740,1692,332,326,347,369,318,1042
E01001589,Greenwich,15.3215,1078,67,253,176,30,526,67.2,4.2,15.8,11,1.9,32.8,1070,534,66.7,33.3,536,80,87,13,744,49,89,3,42,33,9,519,116,46.4,3.1,5.5,0.2,2.6,2.1,0.6,32.4,7.2,Greenwich 012B,27.7,0.2,0.1,16.7,-0.1,0.6,34.1,29.5,268000,44220,35240,1604,300,401,414,346,143,1161
E01001590,Greenwich,18.1375,1130,116,312,184,35,647,63.6,6.5,17.6,10.4,2,36.4,1179,598,66.3,33.7,609,92,86.9,13.1,764,26,59,4,94,102,8,571,149,43,1.5,3.3,0.2,5.3,5.7,0.5,32.1,8.4,Greenwich 014A,18.3,0.1,0.1,6.9,-0.4,0.5,25,29.3,355000,52890,41730,1777,332,428,520,347,150,1295
E01001591,Greenwich,15.4697,1169,131,244,458,38,871,57.3,6.4,12,22.5,1.9,42.7,1361,679,66.7,33.3,726,113,86.5,13.5,1008,41,65,7,207,8,9,535,160,49.4,2,3.2,0.3,10.1,0.4,0.4,26.2,7.8,Greenwich 012C,31.7,0.2,0.1,20.2,0.6,0.4,34.5,17.6,336000,41340,32950,2040,503,422,546,359,210,1327
E01001592,Greenwich,15.1137,1265,87,202,147,17,453,73.6,5.1,11.8,8.6,1,26.4,1283,435,74.7,25.3,676,64,91.4,8.6,815,19,73,5,34,27,9,568,168,47.4,1.1,4.2,0.3,2,1.6,0.5,33.1,9.8,Greenwich 014B,14.7,0.1,0.1,4.6,-0.4,0.3,20.8,39.6,408000,56100,44000,1718,330,313,564,361,150,1238
E01001593,Greenwich,13.6624,1391,66,79,85,17,247,84.9,4,4.8,5.2,1,15.1,1336,302,81.6,18.4,694,34,95.3,4.7,792,10,18,4,43,8,7,618,138,48.4,0.6,1.1,0.2,2.6,0.5,0.4,37.7,8.4,Greenwich 014C,11.4,0.1,0.1,1.5,-0.4,0.1,18.9,36.1,470000,58440,45620,1638,289,235,517,408,189,1160
E01001594,Greenwich,11.2771,996,129,255,522,35,941,51.4,6.7,13.2,26.9,1.8,48.6,1211,726,62.5,37.5,643,120,84.3,15.7,934,49,79,6,220,4,12,507,126,48.2,2.5,4.1,0.3,11.4,0.2,0.6,26.2,6.5,Greenwich 014D,36.3,0.3,0.2,19.9,0.5,0.2,31.5,18.7,312100,45500,36230,1937,529,408,522,321,157,1251
E01001595,Greenwich,8.93928,1033,113,354,443,36,946,52.2,5.7,17.9,22.4,1.8,47.8,1283,696,64.8,35.2,585,108,84.4,15.6,926,64,78,4,222,54,6,452,173,46.8,3.2,3.9,0.2,11.2,2.7,0.3,22.8,8.7,Greenwich 012D,23.2,0.2,0.1,20,-0.3,0.6,34.5,20.5,295998,43410,34600,1979,523,393,443,392,228,1228
E01001596,Greenwich,4.12536,1310,49,113,58,34,254,83.8,3.1,7.2,3.7,2.2,16.2,1364,200,87.2,12.8,572,25,95.8,4.2,988,6,30,5,85,32,7,300,111,63.2,0.4,1.9,0.3,5.4,2,0.4,19.2,7.1,Greenwich 032A,9.4,0.1,0.1,12.5,-0.6,-0.2,21.3,13.9,365995,53950,42490,1564,274,232,314,443,301,989
E01001597,Greenwich,9.20431,1174,68,146,116,56,386,75.3,4.4,9.4,7.4,3.6,24.7,1263,297,81,19,562,45,92.6,7.4,881,11,49,4,109,14,6,377,109,56.5,0.7,3.1,0.3,7,0.9,0.4,24.2,7,Greenwich 031A,15.2,0.1,0.1,8.3,-0.5,0.5,24.4,22.5,262000,50250,39810,1560,280,298,295,446,241,1039
E01001598,Greenwich,7.24491,1254,27,128,125,53,333,79,1.7,8.1,7.9,3.3,21,1290,297,81.3,18.7,576,30,95,5,999,11,56,1,71,16,5,329,99,62.9,0.7,3.5,0.1,4.5,1,0.3,20.7,6.2,Greenwich 031B,14.2,0.1,0.1,12.2,-0.5,0.5,25.2,17.1,420000,50710,40150,1587,242,308,270,470,297,1048
E01001599,Greenwich,5.55739,1376,48,113,128,36,325,80.9,2.8,6.6,7.5,2.1,19.1,1412,289,83,17,585,30,95.1,4.9,1078,20,15,6,74,6,9,370,123,63.4,1.2,0.9,0.4,4.4,0.4,0.5,21.8,7.2,Greenwich 032B,17.4,0.1,0.1,22.1,-0.4,0.6,20.6,19,325000,49550,39300,1701,340,303,344,443,271,1090
E01001600,Greenwich,11.0486,1289,47,95,108,22,272,82.6,3,6.1,6.9,1.4,17.4,1296,265,83,17,635,28,95.8,4.2,938,15,21,9,53,7,4,380,134,60.1,1,1.3,0.6,3.4,0.4,0.3,24.3,8.6,Greenwich 032C,13.5,0.1,0.1,11,-0.5,0.1,24.5,15.7,275000,50570,40050,1561,269,349,353,371,219,1073
E01001601,Greenwich,7.92187,1351,33,78,76,23,210,86.5,2.1,5,4.9,1.5,13.5,1355,206,86.8,13.2,577,24,96,4,1013,4,7,8,47,16,2,344,120,64.9,0.3,0.4,0.5,3,1,0.1,22,7.7,Greenwich 032D,11,0.1,0.1,9,-0.4,-0.4,26.1,16.6,360000,52620,41530,1561,263,271,260,449,318,980
E01001602,Greenwich,5.5598,1552,81,58,146,36,321,82.9,4.3,3.1,7.8,1.9,17.1,1604,269,85.6,14.4,675,43,94,6,1086,11,8,1,89,2,4,523,149,58,0.6,0.4,0.1,4.8,0.1,0.2,27.9,8,Greenwich 031C,32.4,0.2,0.2,28.8,0.5,0.7,23.3,20.6,287000,43690,34820,1873,418,355,374,436,290,1165
E01001603,Greenwich,6.56139,1370,54,55,159,17,285,82.8,3.3,3.3,9.6,1,17.2,1434,221,86.6,13.4,735,33,95.7,4.3,901,9,8,4,67,1,8,509,148,54.4,0.5,0.5,0.2,4,0.1,0.5,30.8,8.9,Greenwich 031D,36.7,0.2,0.2,33.6,0.7,0.5,28.1,16.4,217500,42190,33630,1655,345,307,332,404,267,1043
E01001604,Greenwich,16.4534,1248,48,109,22,13,192,86.7,3.3,7.6,1.5,0.9,13.3,1221,219,84.8,15.2,538,30,94.7,5.3,796,21,26,3,23,5,8,444,114,55.3,1.5,1.8,0.2,1.6,0.3,0.6,30.8,7.9,Greenwich 027A,13.5,0.1,0.1,4.3,-0.3,0.4,18.1,31.1,433000,59100,46070,1440,270,247,335,391,197,973
E01001605,Greenwich,5.17734,1415,28,81,51,9,169,89.3,1.8,5.1,3.2,0.6,10.7,1402,182,88.5,11.5,562,9,98.4,1.6,975,16,20,3,21,13,2,360,174,61.6,1,1.3,0.2,1.3,0.8,0.1,22.7,11,Greenwich 023A,7.2,0,0,9.1,-1,-0.3,22.1,17.7,373750,55870,43840,1584,296,243,313,472,260,1028
E01001606,Greenwich,3.93432,1469,42,84,24,18,168,89.7,2.6,5.1,1.5,1.1,10.3,1445,192,88.3,11.7,591,27,95.6,4.4,963,9,13,4,35,9,3,454,147,58.8,0.5,0.8,0.2,2.1,0.5,0.2,27.7,9,Greenwich 023B,6.4,0,0,7.5,-1.1,-0.6,15.5,25.5,352000,56190,44060,1637,344,258,390,454,191,1102
E01001607,Greenwich,10.7723,1321,41,74,31,7,153,89.6,2.8,5,2.1,0.5,10.4,1265,209,85.8,14.2,583,21,96.5,3.5,876,6,21,4,24,0,9,403,131,59.4,0.4,1.4,0.3,1.6,0,0.6,27.3,8.9,Greenwich 027B,17.9,0.1,0.1,10.6,-0.4,0.3,19.1,36.8,402500,52950,41770,1474,281,218,316,418,241,952
E01001608,Greenwich,9.34922,1365,30,35,21,3,89,93.9,2.1,2.4,1.4,0.2,6.1,1304,150,89.7,10.3,581,11,98.1,1.9,933,7,10,9,2,4,2,362,125,64.2,0.5,0.7,0.6,0.1,0.3,0.1,24.9,8.6,Greenwich 027C,14.3,0.1,0.1,2.9,-0.7,0.1,45.3,19.7,590000,62330,48250,1454,268,227,234,430,295,891
E01001609,Greenwich,20.6723,1379,44,77,90,12,223,86.1,2.7,4.8,5.6,0.7,13.9,1326,276,82.8,17.2,695,43,94.2,5.8,930,7,35,3,39,1,7,457,123,58.1,0.4,2.2,0.2,2.4,0.1,0.4,28.5,7.7,Greenwich 027D,22,0.1,0.1,5.6,0,0.7,26.1,25,380000,52610,41520,1602,272,255,321,451,303,1027
E01001610,Greenwich,3.3297,1444,46,102,64,13,225,86.5,2.8,6.1,3.8,0.8,13.5,1405,264,84.2,15.8,666,41,94.2,5.8,1016,19,17,0,29,1,4,463,120,60.9,1.1,1,0,1.7,0.1,0.2,27.7,7.2,Greenwich 023C,12.9,0.1,0.1,10.4,-0.3,-0.4,23.2,26,306375,52530,41470,1669,303,241,382,475,268,1098
E01001611,Greenwich,5.26864,1463,62,52,65,17,196,88.2,3.7,3.1,3.9,1,11.8,1408,251,84.9,15.1,714,27,96.4,3.6,996,15,5,4,21,13,6,446,153,60,0.9,0.3,0.2,1.3,0.8,0.4,26.9,9.2,Greenwich 023D,18.9,0.1,0.1,18.1,0,-0.3,25,30.4,310250,50390,39910,1659,296,240,404,391,328,1035
E01001613,Greenwich,9.08314,1335,43,88,90,30,251,84.2,2.7,5.5,5.7,1.9,15.8,1316,270,83,17,735,40,94.8,5.2,978,11,21,2,58,19,10,378,109,61.7,0.7,1.3,0.1,3.7,1.2,0.6,23.8,6.9,Greenwich 028A,20,0.1,0.1,9.4,-0.4,0.6,26,19.7,230000,48040,38170,1586,249,309,341,379,308,1029
E01001614,Greenwich,6.93113,1280,13,78,21,17,129,90.8,0.9,5.5,1.5,1.2,9.2,1235,174,87.7,12.3,519,11,97.9,2.1,970,4,37,3,40,8,0,250,97,68.8,0.3,2.6,0.2,2.8,0.6,0,17.7,6.9,Greenwich 028B,8.6,0,0,9,-1,0.5,18.2,22.4,500000,55440,43540,1409,183,245,187,463,331,895
